Project Name,Package Name,Type Name,Code Smell
todoagenda,org.andstatus.todoagenda.test,BuildConfig,Unnecessary Abstraction
todoagenda,org.andstatus.todoagenda.test,BuildConfig,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda.test,BuildConfig,Deficient Encapsulation
todoagenda,org.andstatus.todoagenda,BuildConfig,Deficient Encapsulation
todoagenda,org.andstatus.todoagenda,BuildConfig,Broken Modularization
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,BirthdayTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,BirthdayTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,RealTasksTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,RealTasksTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,DuplicateEventsTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,DuplicateEventsTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,MultidayEventTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,MultidayEventTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,MultidayAllDayEventTest,Imperative Abstraction
todoagenda,org.andstatus.todoagenda,MultidayAllDayEventTest,Unutilized Abstraction
todoagenda,org.andstatus.todoagenda,MultidayAllDayEventTest,Broken Hierarchy
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,Unutilized Abstraction
