Project Name,Package Name,Type Name,Method Name,Code Smell
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,testShowRecurringEvents,Magic Number
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,generateEventInstances,Long Statement
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,generateEventInstances,Magic Number
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,generateEventInstances,Magic Number
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,generateEventInstances,Magic Number
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,Long Statement
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,Long Statement
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,Magic Number
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,Magic Number
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,Magic Number
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Long Statement
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Long Statement
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,Magic Number
