Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,testShowRecurringEvents,9,1,0
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,countCalendarEntries,9,3,0
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,generateEventInstances,11,2,0
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,testShowOnlyClosestInstance,10,1,0
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,testIssue205,11,1,0
todoagenda,org.andstatus.todoagenda,BirthdayTest,testBirthdayOneDayOnly,45,1,0
todoagenda,org.andstatus.todoagenda,BirthdayTest,playAtOneTime,17,2,3
todoagenda,org.andstatus.todoagenda,RealTasksTest,testTasksWithoutStartAndDueDates,10,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateDueNoFilters,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateDueEndOfList,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateDueFiltered,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateDueFilteredHideNoDates,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateStartedNoFilters,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateStartedEndOfList,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateStartedHideNoDates,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,dateStartedFiltered,6,1,0
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,oneCase,6,1,3
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,oneCaseSettings,16,3,3
todoagenda,org.andstatus.todoagenda,DuplicateEventsTest,testIssue354,7,1,0
todoagenda,org.andstatus.todoagenda,MultidayEventTest,testEventWhichCarryOverToTheNextDay,38,4,0
todoagenda,org.andstatus.todoagenda,MultidayEventTest,testThreeDaysEvent,13,1,0
todoagenda,org.andstatus.todoagenda,MultidayEventTest,assertSundayEntryAt,9,1,3
todoagenda,org.andstatus.todoagenda,MultidayEventTest,getSundayEntryAt,18,4,2
todoagenda,org.andstatus.todoagenda,MultidayAllDayEventTest,testInsidePeriod,54,10,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,setUp,3,1,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,tearDown,4,1,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,dateTime,3,1,3
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,dateTime,3,1,5
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,playResults,24,4,1
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,waitForRemoteViewsFactoryCreation,6,2,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,waitTillWidgetIsUpdated,10,3,1
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,waitTillWidgetIsReloaded,10,3,1
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,waitTillWidgetIsRedrawn,10,3,1
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,getSettings,3,1,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,getFactory,4,1,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,ensureNonEmptyResults,6,1,0
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,assertPosition,4,1,2
todoagenda,org.andstatus.todoagenda,DayHeadersShiftTest,testDayHeadersShift,10,1,0
todoagenda,org.andstatus.todoagenda,PastDueHeaderWithTasksTest,testPastDueHeaderWithTasks,19,1,0
todoagenda,org.andstatus.todoagenda,WeirdDayHeaderTest,testWeirdDayHeader,10,1,0
todoagenda,org.andstatus.todoagenda,TestRunListener,TestRunListener,4,1,0
todoagenda,org.andstatus.todoagenda,TestRunListener,testSuiteFinished,5,2,1
todoagenda,org.andstatus.todoagenda,TestRunListener,restoreApp,9,1,0
todoagenda,org.andstatus.todoagenda,SingleEventTest,testEventAttributes,19,1,0
todoagenda,org.andstatus.todoagenda,SingleEventTest,testAlldayEventAttributes,16,1,0
todoagenda,org.andstatus.todoagenda,SingleEventTest,testAlldayEventMillis,10,1,0
todoagenda,org.andstatus.todoagenda,SingleEventTest,assertOneEvent,21,2,3
todoagenda,org.andstatus.todoagenda,IllegalInstantDueToTimeZoneTransitionTest,testIllegalInstantDueToTimeZoneOffsetTransition,15,2,0
todoagenda,org.andstatus.todoagenda,IllegalInstantDueToTimeZoneTransitionTest,oneTimeDst,7,2,1
todoagenda,org.andstatus.todoagenda,IllegalInstantDueToTimeZoneTransitionTest,reproducedTimeZoneOffsetTransitionException,16,2,0
todoagenda,org.andstatus.todoagenda,IllegalInstantDueToTimeZoneTransitionTest,toMillis,10,1,1
todoagenda,org.andstatus.todoagenda,IllegalInstantDueToTimeZoneTransitionTest,testPeriodicAlarmTimeDuringTimeGap,22,1,0
todoagenda,org.andstatus.todoagenda,OngoingEventTest,testTodaysOngoingEvent,23,3,0
todoagenda,org.andstatus.todoagenda,OngoingEventTest,testYesterdaysOngoingEvent,25,3,0
todoagenda,org.andstatus.todoagenda,OngoingEventTest,testEventWhichCarryOverToTheNextDay,26,3,0
todoagenda,org.andstatus.todoagenda,AllDayEventsTest,testAllDayEventsPlacement,16,1,0
todoagenda,org.andstatus.todoagenda,TodaysColorsEventsTest,testIssue327,7,1,0
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,registerReceivers,20,3,1
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,scheduleMidnightAlarms,16,4,2
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,schedulePeriodicAlarms,16,4,2
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,forget,3,1,0
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,unRegister,3,1,1
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,onReceive,38,8,2
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,gotoToday,10,2,2
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,onReceive,5,1,4
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,startActivity,13,2,5
