Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
todoagenda,org.andstatus.todoagenda.test,BuildConfig,4,4,0,0,6,0,0,0,-1.0,0,0
todoagenda,org.andstatus.todoagenda,BuildConfig,6,6,0,0,8,0,0,0,-1.0,1,0
todoagenda,org.andstatus.todoagenda,RecurringEventsTest,1,0,3,1,38,6,0,1,0.0,0,2
todoagenda,org.andstatus.todoagenda,ShowOnlyClosestInstanceTest,0,0,1,1,15,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,WrongDatesLostEventsTest,0,0,1,1,19,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,BirthdayTest,0,0,2,1,67,3,0,1,-1.0,0,5
todoagenda,org.andstatus.todoagenda,RealTasksTest,0,0,1,1,15,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,TasksFilteringAndOrderingTest,0,0,10,8,82,12,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,DuplicateEventsTest,0,0,1,1,15,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,MultidayEventTest,2,0,4,2,91,10,0,1,0.0,0,2
todoagenda,org.andstatus.todoagenda,MultidayAllDayEventTest,0,0,1,1,59,10,0,1,-1.0,0,4
todoagenda,org.andstatus.todoagenda,BaseWidgetTest,5,0,13,3,100,23,17,0,0.0,0,7
todoagenda,org.andstatus.todoagenda,DayHeadersShiftTest,0,0,1,1,15,1,0,1,-1.0,0,2
todoagenda,org.andstatus.todoagenda,PastDueHeaderWithTasksTest,0,0,1,1,27,1,0,1,-1.0,0,5
todoagenda,org.andstatus.todoagenda,WeirdDayHeaderTest,0,0,1,1,15,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,TestRunListener,1,0,3,2,24,4,0,0,0.0,0,3
todoagenda,org.andstatus.todoagenda,SingleEventTest,1,0,4,3,72,5,0,1,0.0,0,3
todoagenda,org.andstatus.todoagenda,IllegalInstantDueToTimeZoneTransitionTest,2,0,5,2,89,8,0,1,0.4,0,1
todoagenda,org.andstatus.todoagenda,OngoingEventTest,1,0,3,3,86,9,0,1,0.0,0,2
todoagenda,org.andstatus.todoagenda,AllDayEventsTest,0,0,1,1,21,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,TodaysColorsEventsTest,0,0,1,1,15,1,0,1,-1.0,0,1
todoagenda,org.andstatus.todoagenda,EnvironmentChangedReceiver,2,0,13,6,158,31,0,0,0.3076923076923077,6,10
todoagenda,org.andstatus.todoagenda,WidgetConfigurationActivity,8,5,11,2,190,35,0,0,0.18181818181818182,3,9
todoagenda,org.andstatus.todoagenda,MainActivity,4,0,12,6,126,24,0,0,0.25,7,5
todoagenda,org.andstatus.todoagenda,RemoteViewsService,1,0,2,2,14,2,1,0,0.0,1,2
todoagenda,org.andstatus.todoagenda,ErrorReportActivity,2,1,3,2,30,4,0,0,0.6666666666666666,2,3
todoagenda,org.andstatus.todoagenda,RemoteViewsFactory,22,6,35,13,327,72,0,1,0.08571428571428572,10,13
todoagenda,org.andstatus.todoagenda,AppWidgetProvider,1,0,11,11,68,16,0,0,0.2727272727272727,2,4
todoagenda,org.andstatus.todoagenda,InstanceState,5,4,7,6,33,7,0,0,0.0,4,1
todoagenda,org.andstatus.todoagenda.prefs,GenerateLocalizedDescriptions,0,0,2,1,39,3,0,0,-1.0,0,1
todoagenda,org.andstatus.todoagenda.prefs,FakeSettingsProvider,0,0,1,1,8,1,0,0,-1.0,0,0
todoagenda,org.andstatus.todoagenda.prefs,DateFormatterTest,0,0,5,2,81,5,0,0,-1.0,1,4
todoagenda,org.andstatus.todoagenda.prefs,KeywordsFilterTest,0,0,4,1,40,5,0,0,-1.0,0,1
todoagenda,org.andstatus.todoagenda.prefs,MyPreferenceFragment,0,0,3,3,11,3,2,0,-1.0,0,2
todoagenda,org.andstatus.todoagenda.prefs,EventDetailsPreferencesFragment,0,0,1,1,5,1,0,0,-1.0,0,0
todoagenda,org.andstatus.todoagenda.prefs,AllSettings,3,0,15,11,150,33,0,0,0.13333333333333333,18,6
todoagenda,org.andstatus.todoagenda.prefs,FeedbackPreferencesFragment,4,0,2,2,35,5,0,0,1.0,0,4
todoagenda,org.andstatus.todoagenda.prefs,RootFragment,0,0,3,2,20,4,0,0,-1.0,0,1
todoagenda,org.andstatus.todoagenda.prefs,KeywordsFilter,3,0,7,4,82,23,0,0,0.0,3,0
todoagenda,org.andstatus.todoagenda.prefs,MyLocale,4,1,11,6,80,20,0,0,0.18181818181818182,2,2
todoagenda,org.andstatus.todoagenda.prefs,OtherPreferencesFragment,0,0,11,5,106,24,0,1,-1.0,0,5
todoagenda,org.andstatus.todoagenda.prefs,SettingsStorage,2,0,13,3,133,26,0,0,0.15384615384615385,3,1
todoagenda,org.andstatus.todoagenda.prefs,LayoutPreferencesFragment,0,0,7,5,52,13,0,0,-1.0,0,2
